#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_042940635.1	PRJNA224116	SAMN36798144	na	na	3065672	3065672	Vibrio sp. NH-UV-68	strain=NH-UV-68	na	latest	Complete Genome	Major	Full	2024-10-13	TBRIn6	Georg-August-University Goettingen	GCA_042940635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/940/635/GCF_042940635.1_TBRIn6	na	na	na	haploid	bacteria	4598095	4598095	45	2	2	2	NCBI RefSeq	GCF_042940635.1-RS_2024_10_11	2024-10-11	4186	4000	143	na
GCF_963455295.1	PRJNA224116	SAMEA114245891	na	na	3065865	3065865	Candidatus Thiodiazotropha sp. CDECU1	na	46184	latest	Complete Genome	Major	Full	2023-09-14	xbCteDecu1.Thiodiazotropha_sp._1.1	WELLCOME SANGER INSTITUTE	GCA_963455295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/455/295/GCF_963455295.1_xbCteDecu1.Thiodiazotropha_sp._1.1	na	na	na	haploid	bacteria	4463383	4463383	52.5	1	1	1	NCBI RefSeq	GCF_963455295.1-RS_2025_08_25	2025-08-25	4089	4006	54	na
GCF_030944405.1	PRJNA224116	SAMN36812256	na	na	3065910	3065910	Janthinobacterium sp. J1-1	strain=J1-1	na	latest	Complete Genome	Major	Full	2023-08-29	ASM3094440v1	Institute of Mountain Hazards and Environment, Chinese Academy of Sciences	GCA_030944405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/944/405/GCF_030944405.1_ASM3094440v1	na	na	na	haploid	bacteria	6951453	6951453	62.5	2	2	2	NCBI RefSeq	GCF_030944405.1-RS_2024_09_14	2024-09-14	6352	6193	117	na
GCF_041154415.1	PRJNA224116	SAMD00623148	na	na	3065951	3065951	Variovorax sp. V11	strain=V11	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115441v1	Kyoto University	GCA_041154415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/415/GCF_041154415.1_ASM4115441v1	na	na	na	haploid	bacteria	6743115	6743115	67.5	2	2	2	NCBI RefSeq	GCF_041154415.1-RS_2024_08_10	2024-08-10	6434	6354	56	38707841
GCF_041154425.1	PRJNA224116	SAMD00623149	na	na	3065952	3065952	Variovorax sp. V15	strain=V15	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115442v1	Kyoto University	GCA_041154425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/425/GCF_041154425.1_ASM4115442v1	na	na	na	haploid	bacteria	7418992	7418992	67.5	2	2	2	NCBI RefSeq	GCF_041154425.1-RS_2024_08_10	2024-08-10	6935	6803	68	38707841
GCF_041154435.1	PRJNA224116	SAMD00623150	na	na	3065953	3065953	Variovorax sp. V116	strain=V116	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115443v1	Kyoto University	GCA_041154435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/435/GCF_041154435.1_ASM4115443v1	na	na	na	haploid	bacteria	6776293	6776293	67.5	2	2	2	NCBI RefSeq	GCF_041154435.1-RS_2024_08_10	2024-08-10	6502	6372	57	38707841
GCF_041154445.1	PRJNA224116	SAMD00623151	na	na	3065954	3065954	Variovorax sp. V118	strain=V118	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115444v1	Kyoto University	GCA_041154445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/445/GCF_041154445.1_ASM4115444v1	na	na	na	haploid	bacteria	7214639	7214639	68	1	1	1	NCBI RefSeq	GCF_041154445.1-RS_2024_08_10	2024-08-10	6743	6582	60	38707841
GCF_041154455.1	PRJNA224116	SAMD00623152	na	na	3065955	3065955	Variovorax sp. V213	strain=V213	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115445v1	Kyoto University	GCA_041154455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/455/GCF_041154455.1_ASM4115445v1	na	na	na	haploid	bacteria	6413929	6413929	66.5	2	2	2	NCBI RefSeq	GCF_041154455.1-RS_2024_08_10	2024-08-10	6108	5925	75	38707841
GCF_041154465.1	PRJNA224116	SAMD00623153	na	na	3065956	3065956	Variovorax sp. V35	strain=V35	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115446v1	Kyoto University	GCA_041154465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/465/GCF_041154465.1_ASM4115446v1	na	na	na	haploid	bacteria	7285518	7285518	68	1	1	1	NCBI RefSeq	GCF_041154465.1-RS_2024_08_10	2024-08-10	6749	6616	61	38707841
GCF_041154475.1	PRJNA224116	SAMD00623154	na	na	3065957	3065957	Variovorax sp. V59	strain=V59	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115447v1	Kyoto University	GCA_041154475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/475/GCF_041154475.1_ASM4115447v1	na	na	na	haploid	bacteria	6743117	6743117	67.5	2	2	2	NCBI RefSeq	GCF_041154475.1-RS_2024_08_10	2024-08-10	6431	6349	56	38707841
GCF_041154485.1	PRJNA224116	SAMD00623155	na	na	3065958	3065958	Variovorax sp. V93	strain=V93	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115448v1	Kyoto University	GCA_041154485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/485/GCF_041154485.1_ASM4115448v1	na	na	na	haploid	bacteria	6743117	6743117	67.5	2	2	2	NCBI RefSeq	GCF_041154485.1-RS_2024_08_10	2024-08-10	6431	6349	56	38707841
GCF_041154495.1	PRJNA224116	SAMD00623156	na	na	3065959	3065959	Variovorax sp. V77	strain=V77	na	latest	Complete Genome	Major	Full	2024-08-10	ASM4115449v1	Kyoto University	GCA_041154495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/154/495/GCF_041154495.1_ASM4115449v1	na	na	na	haploid	bacteria	7285451	7285451	68	1	1	1	NCBI RefSeq	GCF_041154495.1-RS_2024_08_10	2024-08-10	6748	6594	61	38707841
GCF_964026805.1	PRJNA224116	SAMEA114449879	na	reference genome	3066130	3066130	Wolbachia endosymbiont (group A) of Agelastica alni	na	54592	latest	Complete Genome	Major	Full	2024-04-20	icAgeAlni6.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/805/GCF_964026805.1_icAgeAlni6.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1479088	1479088	35.5	1	1	1	NCBI RefSeq	GCF_964026805.1-RS_2025_01_08	2025-01-08	1565	1452	41	na
GCF_964277405.1	PRJNA224116	SAMEA114449885	na	reference genome	3066132	3066132	Wolbachia endosymbiont of Cantharis cryptica	na	54598	latest	Complete Genome	Major	Full	2024-10-31	icCanCryp2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964277405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/277/405/GCF_964277405.1_icCanCryp2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1389053	1389053	35	1	1	1	NCBI RefSeq	GCF_964277405.1-RS_2025_01_08	2025-01-08	1367	1220	41	na
GCF_964026865.1	PRJNA224116	SAMEA114449886	na	reference genome	3066133	3066133	Wolbachia endosymbiont (group A) of Clivina fossor	na	54599	latest	Complete Genome	Major	Full	2024-04-20	icCliFoss2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/865/GCF_964026865.1_icCliFoss2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1766692	1766692	35	1	1	1	NCBI RefSeq	GCF_964026865.1-RS_2025_01_08	2025-01-08	1797	1567	41	na
GCF_963931955.1	PRJNA224116	SAMEA114449887	na	reference genome	3066134	3066134	Wolbachia endosymbiont (group A) of Longitarsus flavicornis	na	54600	latest	Complete Genome	Major	Full	2024-02-08	icLonFlav1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_963931955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/931/955/GCF_963931955.1_icLonFlav1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1627592	1627592	35	1	1	1	NCBI RefSeq	GCF_963931955.1-RS_2026_01_08	2026-01-08	1562	1319	42	na
GCF_964028135.1	PRJNA224116	SAMEA114449888	na	reference genome	3066135	3066135	Wolbachia endosymbiont (group B) of Longitarsus flavicornis	na	54601	latest	Complete Genome	Major	Full	2024-06-28	icLonFlav1.Wolbachia_sp_2.1	WELLCOME SANGER INSTITUTE	GCA_964028135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/135/GCF_964028135.1_icLonFlav1.Wolbachia_sp_2.1	na	na	na	haploid	bacteria	1750359	1750359	34	1	1	1	NCBI RefSeq	GCF_964028135.1-RS_2025_01_08	2025-01-08	1664	1426	42	na
GCF_964028245.1	PRJNA224116	SAMEA114449889	na	reference genome	3066136	3066136	Wolbachia endosymbiont (group A) of Pogonocherus hispidulus	na	54602	latest	Complete Genome	Major	Full	2024-06-28	icPogHisp1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/245/GCF_964028245.1_icPogHisp1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1449764	1449764	35	1	1	1	NCBI RefSeq	GCF_964028245.1-RS_2025_01_08	2025-01-08	1386	1281	41	na
GCF_964028615.1	PRJNA224116	SAMEA114449891	na	reference genome	3066137	3066137	Wolbachia endosymbiont (group B) of Silvanus unidentatus	na	54604	latest	Complete Genome	Major	Full	2024-06-28	icSilUnid1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/615/GCF_964028615.1_icSilUnid1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1731368	1731368	34.5	1	1	1	NCBI RefSeq	GCF_964028615.1-RS_2025_01_08	2025-01-08	1627	1503	41	na
GCF_964028185.1	PRJNA224116	SAMEA114449893	na	reference genome	3066139	3066139	Wolbachia endosymbiont (group A) of Beris morrisii	na	54606	latest	Complete Genome	Major	Full	2024-06-28	idBerMorr1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/185/GCF_964028185.1_idBerMorr1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1496271	1496271	35.5	1	1	1	NCBI RefSeq	GCF_964028185.1-RS_2025_01_08	2025-01-08	1574	1466	41	na
GCF_964026995.1	PRJNA224116	SAMEA114449894	na	reference genome	3066140	3066140	Wolbachia endosymbiont (group A) of Brachyopa scutellaris	na	54607	latest	Complete Genome	Major	Full	2024-04-20	idBraScut1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/995/GCF_964026995.1_idBraScut1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1456049	1456049	35.5	1	1	1	NCBI RefSeq	GCF_964026995.1-RS_2025_01_08	2025-01-08	1528	1412	41	na
GCF_964027015.1	PRJNA224116	SAMEA114449898	na	reference genome	3066143	3066143	Wolbachia endosymbiont (group A) of Conops quadrifasciatus	na	54611	latest	Complete Genome	Major	Full	2024-04-20	idConQuad1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964027015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/027/015/GCF_964027015.1_idConQuad1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1342634	1342634	35	1	1	1	NCBI RefSeq	GCF_964027015.1-RS_2025_01_08	2025-01-08	1393	1188	41	na
GCF_964028475.1	PRJNA224116	SAMEA114449899	na	reference genome	3066144	3066144	Wolbachia endosymbiont (group A) of Crataerina pallida	na	54612	latest	Complete Genome	Major	Full	2024-06-28	idCraPall2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/475/GCF_964028475.1_idCraPall2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1560591	1560591	35	1	1	1	NCBI RefSeq	GCF_964028475.1-RS_2025_01_08	2025-01-08	1546	1410	41	na
GCF_964026915.1	PRJNA224116	SAMEA114449900	na	reference genome	3066145	3066145	Wolbachia endosymbiont (group A) of Eristalinus aeneus	na	54613	latest	Complete Genome	Major	Full	2024-04-20	idEriAene1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/915/GCF_964026915.1_idEriAene1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1323550	1323550	35	1	1	1	NCBI RefSeq	GCF_964026915.1-RS_2025_01_08	2025-01-08	1378	1230	41	na
GCF_964028575.1	PRJNA224116	SAMEA114449901	na	reference genome	3066146	3066146	Wolbachia endosymbiont (group A) of Lypha dubia	na	54614	latest	Complete Genome	Major	Full	2024-06-28	idLypDubi1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/575/GCF_964028575.1_idLypDubi1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1631964	1631964	35	1	1	1	NCBI RefSeq	GCF_964028575.1-RS_2025_01_08	2025-01-08	1630	1500	42	na
GCF_964027095.1	PRJNA224116	SAMEA114449902	na	reference genome	3066147	3066147	Wolbachia endosymbiont (group A) of Machimus atricapillus	na	54615	latest	Complete Genome	Major	Full	2024-04-20	idMacAtri3.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964027095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/027/095/GCF_964027095.1_idMacAtri3.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1383300	1383300	35.5	1	1	1	NCBI RefSeq	GCF_964027095.1-RS_2025_01_08	2025-01-08	1349	1230	41	na
GCF_964028105.1	PRJNA224116	SAMEA114449905	na	na	3066148	3066148	Wolbachia endosymbiont (group A) of Myopa testacea	na	54618	latest	Complete Genome	Major	Full	2024-06-28	idMyoTest1.Wolbachia_sp_3.1	WELLCOME SANGER INSTITUTE	GCA_964028105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/105/GCF_964028105.1_idMyoTest1.Wolbachia_sp_3.1	na	na	na	haploid	bacteria	1495096	1495096	35.5	1	1	1	NCBI RefSeq	GCF_964028105.1-RS_2025_01_08	2025-01-08	1472	1344	41	na
GCF_964026735.1	PRJNA224116	SAMEA114449906	na	reference genome	3066149	3066149	Wolbachia endosymbiont (group E) of Neria commutata	na	54619	latest	Complete Genome	Major	Full	2024-04-20	idNerComm1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/735/GCF_964026735.1_idNerComm1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1361155	1361155	34.5	1	1	1	NCBI RefSeq	GCF_964026735.1-RS_2025_01_08	2025-01-08	1464	1240	40	na
GCF_964273535.1	PRJNA224116	SAMEA114449907	na	reference genome	3066150	3066150	Wolbachia endosymbiont (group A) of Norellia spinipes	na	54620	latest	Complete Genome	Major	Full	2024-10-12	idNorSpin2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964273535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/273/535/GCF_964273535.1_idNorSpin2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1792159	1792159	35.5	1	1	1	NCBI RefSeq	GCF_964273535.1-RS_2025_01_08	2025-01-08	1715	1522	52	na
GCF_964027035.1	PRJNA224116	SAMEA114449908	na	reference genome	3066151	3066151	Wolbachia endosymbiont (group B) of Phasia obesa	na	54621	latest	Complete Genome	Major	Full	2024-04-20	idPhaObes1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964027035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/027/035/GCF_964027035.1_idPhaObes1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1392969	1392969	34	1	1	1	NCBI RefSeq	GCF_964027035.1-RS_2025_01_08	2025-01-08	1315	1203	41	na
GCF_964028125.1	PRJNA224116	SAMEA114449909	na	reference genome	3066152	3066152	Wolbachia endosymbiont (group A) of Phasia obesa	na	54622	latest	Complete Genome	Major	Full	2024-06-28	idPhaObes1.Wolbachia_sp_2.1	WELLCOME SANGER INSTITUTE	GCA_964028125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/125/GCF_964028125.1_idPhaObes1.Wolbachia_sp_2.1	na	na	na	haploid	bacteria	1212319	1212319	35	1	1	1	NCBI RefSeq	GCF_964028125.1-RS_2025_01_08	2025-01-08	1191	1105	41	na
GCF_964026875.1	PRJNA224116	SAMEA114449910	na	reference genome	3066153	3066153	Wolbachia endosymbiont (group A) of Pherbina coryleti	na	54623	latest	Complete Genome	Major	Full	2024-04-20	idPheCory1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/875/GCF_964026875.1_idPheCory1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1549461	1549461	35	1	1	1	NCBI RefSeq	GCF_964026875.1-RS_2025_01_08	2025-01-08	1570	1375	41	na
GCF_964028555.1	PRJNA224116	SAMEA114449911	na	reference genome	3066154	3066154	Wolbachia endosymbiont (group A) of Pipizella viduata	na	54624	latest	Complete Genome	Major	Full	2024-06-28	idPipVidu3.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/555/GCF_964028555.1_idPipVidu3.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1386646	1386646	35	1	1	1	NCBI RefSeq	GCF_964028555.1-RS_2025_01_08	2025-01-08	1364	1263	41	na
GCF_964028525.1	PRJNA224116	SAMEA114449912	na	reference genome	3066155	3066155	Wolbachia endosymbiont (group A) of Portevinia maculata	na	54625	latest	Complete Genome	Major	Full	2024-06-28	idPorMacu1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/525/GCF_964028525.1_idPorMacu1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1391997	1391997	35.5	1	1	1	NCBI RefSeq	GCF_964028525.1-RS_2025_01_08	2025-01-08	1352	1208	40	na
GCF_964028435.1	PRJNA224116	SAMEA114449913	na	reference genome	3066156	3066156	Wolbachia endosymbiont (group A) of Urophora cardui	na	54626	latest	Complete Genome	Major	Full	2024-06-28	idUroCard1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/435/GCF_964028435.1_idUroCard1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1728832	1728832	35	1	1	1	NCBI RefSeq	GCF_964028435.1-RS_2025_01_08	2025-01-08	1668	1486	41	na
GCF_964028285.1	PRJNA224116	SAMEA114449914	na	reference genome	3066157	3066157	Wolbachia endosymbiont (group B) of Villa cingulata	na	54627	latest	Complete Genome	Major	Full	2024-06-28	idVilCing2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/285/GCF_964028285.1_idVilCing2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1423723	1423723	34	1	1	1	NCBI RefSeq	GCF_964028285.1-RS_2025_01_08	2025-01-08	1455	1342	41	na
GCF_964026965.1	PRJNA224116	SAMEA114449915	na	reference genome	3066158	3066158	Wolbachia endosymbiont (group A) of Volucella bombylans	na	54628	latest	Complete Genome	Major	Full	2024-04-20	idVolBomb1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/965/GCF_964026965.1_idVolBomb1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1421666	1421666	35	1	1	1	NCBI RefSeq	GCF_964026965.1-RS_2025_01_08	2025-01-08	1445	1306	42	na
GCF_964028355.1	PRJNA224116	SAMEA114449916	na	reference genome	3066159	3066159	Wolbachia endosymbiont (group B) of Gerris lacustris	na	54629	latest	Complete Genome	Major	Full	2024-06-28	ihGerLacu2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/355/GCF_964028355.1_ihGerLacu2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1637073	1637073	34	1	1	1	NCBI RefSeq	GCF_964028355.1-RS_2025_01_08	2025-01-08	1661	1395	40	na
GCF_964028155.1	PRJNA224116	SAMEA114449917	na	reference genome	3066160	3066160	Wolbachia endosymbiont (group B) of Pilophorus perplexus	na	54630	latest	Complete Genome	Major	Full	2024-06-28	ihPilPerp1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/155/GCF_964028155.1_ihPilPerp1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1495511	1495511	34.5	1	1	1	NCBI RefSeq	GCF_964028155.1-RS_2025_01_08	2025-01-08	1444	1316	41	na
GCF_964026845.1	PRJNA224116	SAMEA114449918	na	reference genome	3066161	3066161	Wolbachia endosymbiont (group B) of Agrotis exclamationis	na	54631	latest	Complete Genome	Major	Full	2024-04-20	ilAgrExcl1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/845/GCF_964026845.1_ilAgrExcl1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1499236	1499236	34	1	1	1	NCBI RefSeq	GCF_964026845.1-RS_2025_01_08	2025-01-08	1423	1294	41	na
GCF_964028455.1	PRJNA224116	SAMEA114449919	na	reference genome	3066162	3066162	Wolbachia endosymbiont (group B) of Agrotis puta	na	54632	latest	Complete Genome	Major	Full	2024-06-28	ilAgrPuta1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/455/GCF_964028455.1_ilAgrPuta1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1262745	1262745	34	1	1	1	NCBI RefSeq	GCF_964028455.1-RS_2025_01_08	2025-01-08	1191	1096	41	na
GCF_964028275.1	PRJNA224116	SAMEA114449921	na	reference genome	3066163	3066163	Wolbachia endosymbiont (group B) of Alcis repandata	na	54634	latest	Complete Genome	Major	Full	2024-06-28	ilAlcRepa2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/275/GCF_964028275.1_ilAlcRepa2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1294175	1294175	34	1	1	1	NCBI RefSeq	GCF_964028275.1-RS_2025_01_08	2025-01-08	1223	1112	41	na
GCF_964028375.1	PRJNA224116	SAMEA114449922	na	reference genome	3066164	3066164	Wolbachia endosymbiont (group B) of Apomyelois bistriatella	na	54635	latest	Complete Genome	Major	Full	2024-06-28	ilApoBist1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/375/GCF_964028375.1_ilApoBist1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1550599	1550599	34	1	1	1	NCBI RefSeq	GCF_964028375.1-RS_2025_01_08	2025-01-08	1472	1350	41	na
GCF_964027025.1	PRJNA224116	SAMEA114449923	na	reference genome	3066165	3066165	Wolbachia endosymbiont (group A) of Apotomis capreana	na	54636	latest	Complete Genome	Major	Full	2024-04-20	ilApoCapr1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964027025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/027/025/GCF_964027025.1_ilApoCapr1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1341671	1341671	35.5	1	1	1	NCBI RefSeq	GCF_964027025.1-RS_2025_01_08	2025-01-08	1363	1247	41	na
GCF_964026975.1	PRJNA224116	SAMEA114450262	na	reference genome	3066166	3066166	Wolbachia endosymbiont (group B) of Aricia artaxerxes	na	54759	latest	Complete Genome	Major	Full	2024-04-20	ilAriArta2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/975/GCF_964026975.1_ilAriArta2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1682192	1682192	34	1	1	1	NCBI RefSeq	GCF_964026975.1-RS_2025_01_08	2025-01-08	1572	1412	41	na
GCF_964026945.1	PRJNA224116	SAMEA114449924	na	reference genome	3066167	3066167	Wolbachia endosymbiont (group B) of Chesias legatella	na	54637	latest	Complete Genome	Major	Full	2024-04-20	ilCheLega1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964026945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/026/945/GCF_964026945.1_ilCheLega1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1465951	1465951	34	1	1	1	NCBI RefSeq	GCF_964026945.1-RS_2025_01_08	2025-01-08	1395	1273	41	na
GCF_964028235.1	PRJNA224116	SAMEA114449925	na	reference genome	3066168	3066168	Wolbachia endosymbiont (group B) of Cyclophora punctaria	na	54638	latest	Complete Genome	Major	Full	2024-06-28	ilCycPunc2.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/235/GCF_964028235.1_ilCycPunc2.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1679297	1679297	34	1	1	1	NCBI RefSeq	GCF_964028235.1-RS_2025_01_08	2025-01-08	1615	1467	42	na
GCF_964028495.1	PRJNA224116	SAMEA114449926	na	reference genome	3066169	3066169	Wolbachia endosymbiont (group A) of Cydia amplana	na	54639	latest	Complete Genome	Major	Full	2024-06-28	ilCydAmpl1.Wolbachia_sp_1.1	WELLCOME SANGER INSTITUTE	GCA_964028495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/028/495/GCF_964028495.1_ilCydAmpl1.Wolbachia_sp_1.1	na	na	na	haploid	bacteria	1264178	1264178	35	1	1	1	NCBI RefSeq	GCF_964028495.1-RS_2025_01_08	2025-01-08	1249	1171	41	na
